candidate_id,combined_oof,recent_weighted_combined,recent_tail_revenue,cogs_oof,revenue_oof,stability_std,Public_MAE
anchor_rev70_cogs100_proxy,633813.4592301584,,,593212.7616386606,674414.156821656,,
baseline_ets_weekly,,,,,,,
baseline_seasonal_md2y,,,,,,,
baseline_weekly_recursive,,,,,,,
bottomup_category,910105.5397652512,,,862520.7214493934,957690.3580811092,143147.20693516405,
bottomup_category_segment_blend50,929613.5471141228,,,882437.3028680435,976789.791360202,138471.20943793372,
bottomup_revratio_category,1073090.1640389264,,,1012922.4923046106,1133257.8357732422,223142.0293732106,
bottomup_revratio_category_segment_blend50,1009885.0859366504,,,958119.6387717826,1061650.5331015184,100336.11567660669,
bottomup_revratio_segment,960945.464563973,,,915844.6377154049,1006046.2914125412,58983.42492310335,
bottomup_segment,958962.6739203294,,,911107.308956908,1006818.0388837508,138342.94247871178,
catboost_core_log1p,,,,,,,
catboost_core_strict,823659.6417430558,724968.6428351861,688001.5737338937,731780.3762659146,915538.907220197,317961.1534727844,
catboost_core_strict_hierarchy_lite,692805.6763268465,635622.1778434014,621815.8201985335,629962.481452864,755648.8712008288,201162.502403997,
catboost_md2y_context,,,,,,,
catboost_md2y_context_recencyexp20,611614.1653352235,600051.3285714585,627798.4220644772,561757.2032318274,661471.1274386196,71346.9741270651,
catboost_md2y_core,643830.3873031442,616564.7109809633,625901.9920327625,593212.7616386606,694448.0129676278,136302.5623005448,
catboost_md2y_core_anchor,643830.3873031442,616564.7109809633,625901.9920327625,593212.7616386606,694448.0129676278,136302.5623005448,
catboost_md2y_core_cogs_ratio_bucket,639014.4480034459,619677.8786897074,629847.3334964849,594748.6164934421,683280.2795134496,106685.40488039544,
catboost_md2y_core_cogs_ratio_bucket_tight,644651.0754748653,624074.415810511,631352.4668671938,601396.1221146705,687906.0288350602,112635.13696382636,
catboost_md2y_core_hierarchy_lite,720471.4911297064,655149.753896762,629667.1310232363,673635.9547691819,767307.0274902309,244380.1177912196,
catboost_md2y_core_price_history,599608.5492890156,571894.7714210883,581001.996478132,553402.3777113806,645814.7208666507,107831.37542872762,
catboost_md2y_core_promo_counters,673873.5484643686,621975.174021346,613073.3717552355,623112.6873805865,724634.4095481505,198367.36779587352,
catboost_md2y_core_recencyexp20,603855.2740976142,588516.414864015,606859.0943974702,555742.1684679193,651968.3797273091,89349.45569820837,
catboost_md2y_core_recencyexp35,641624.1898747429,620990.6894871818,636986.3714431797,585327.2773102322,697921.1024392535,110829.30816355516,
catboost_md2y_core_research_blocks,630985.0191689539,602575.0339832036,617363.4591953737,568828.2409444759,693141.7973934319,104456.47497495874,
catboost_md2y_core_seasonal_tail_blend,,,,,,,
catboost_md2y_core_target_seasonal_priors,638251.6783289274,605304.225426757,621514.060426299,579984.4741301016,696518.8825277531,148611.52073638118,
catboost_md2y_core_targetplus,627441.5577783571,594344.8703824464,593377.8756934246,579962.0234499349,674921.0921067792,128127.6698059589,
catboost_md2y_medium_core,,,,,,,
catboost_md2y_recent_core,612320.808298608,627561.2644441561,689463.078035099,562768.2738979777,661873.3426992383,65631.54019781642,
catboost_promo_slim,842615.8180048794,730724.5924826822,674418.9597850741,748083.9630135839,937147.6729961748,362931.2449666761,
catboost_promo_slim_hierarchy_lite,752987.5767165956,688680.7103472447,681708.7634318643,681135.7118725316,824839.4415606594,215760.50101142869,
direct_horizon_v1_cut15,606847.5278655775,553966.7069093687,586593.953528653,,,,
direct_horizon_v1_cut30,604009.3336762006,552609.1495229051,594064.2351520357,,,,
direct_horizon_v1_cut45,596393.7828676421,546364.036422131,590006.4798968856,,,,
lightgbm_md2y_context,,,,,,,
lightgbm_md2y_core,,,,,,,
public_recency_late_const50,602055.2257777029,,,555742.1684679192,648368.2830874865,,
public_recency_tail_ramp20,599408.6384831521,,,555742.1684679192,643075.1084983848,,
public_recency_tail_ramp25,598602.9495727443,,,555742.1684679192,641463.7306775692,,
public_recency_tail_ramp30,598196.2462830303,,,555742.1684679192,640650.324098141,,
public_recency_tail_ramp35,598026.2868258925,,,555742.1684679192,640310.4051838657,,
public_recency_tail_ramp40,597916.680455091,,,555742.1684679192,640091.1924422625,,
public_recency_tail_ramp45,598095.2067415845,,,555742.1684679192,640448.2450152497,,
public_recency_tail_ramp50,598497.260932333,,,555742.1684679192,641252.3533967468,,
public_revenue_gate_v3_hard,638062.1882172759,,,555742.1684679192,720382.2079666326,,
public_revenue_gate_v3_margin55,634390.6054689605,,,555742.1684679192,713039.0424700016,,
public_revenue_gate_v3_soft,623630.3008522062,,,555742.1684679192,691518.4332364931,,
public_revenue_router_v1_clip,658729.217991793,,,593212.7616386606,724245.6743449256,,
public_revenue_router_v1_relax05,675732.5145096903,,,593212.7616386606,758252.26738072,,
public_router_v1_eom_day1_12pct,665406.3180479119,,,,737504.937091341,,
public_router_v1_eom_monthday_shrunk,661432.1401144934,,,,729556.5812245039,,
public_router_v1_eom_tail_full,667235.7598670993,,,,741163.8207297157,,
public_router_v1_eom_tail_soft,662978.0479355719,,,,732648.3968666609,,
recencyexp20,603855.2740976141,,,555742.1684679192,651968.3797273091,,
revenue_horizon_v1_cut15,637589.8283426645,,,585259.1402385526,689920.5164467766,,
revenue_horizon_v1_cut30,637871.9533533124,,,583844.3441514038,691899.562555221,,
revenue_horizon_v1_cut45,639667.0733864476,,,588230.865739744,691103.2810331514,,
revenue_horizon_v2_cut15,627478.1811270464,,,570561.5248496159,684394.837404477,,
revenue_horizon_v2_cut30,624152.4445768329,,,570146.108190599,678158.7809630668,,
revenue_horizon_v2_cut45,621574.0079214013,,,568679.6267326832,674468.3891101192,,
router_eom_tail_soft,645256.383490055,,,555742.1684679192,734770.5985121909,,
router_v1_clip,639993.9214064224,,,555742.1684679192,724245.6743449256,,
structural_revswitch_z20_proxy,634096.3394668485,,,593212.7616386606,674979.9172950367,,
xgb_md2y_context,,,,,,,
xgb_md2y_core,,,,,,,
